Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C14 ,1,"0F","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C2 ,1,"0.47pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C3 C18 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C4 C16 ,2,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C5 C17 ,2,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C6 ,1,"20nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C7 ,1,"10pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
D1 D2 ,2,"40V 500mA","Diode_SMD:D_SOD-123",""
D3 ,1,"LED","LED_SMD:LED_0805_2012Metric",""
H1 ,1,"6-pin_Headers","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical",""
J1 ,1,"Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~"
L1 ,1,"47uH","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",""
L2 ,1,"2.5k Ohms","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
LCD1 ,1,"OLED","OLED:128x64OLED",""
R1 R5 R16 R20 ,4,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R2 ,1,"226k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R24 ,1,"24.9k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R3 ,1,"249","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R4 R8 ,2,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R6 R7 ,2,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R9 ,1,"0k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
TP1 TP2 TP3 ,3,"Test_Point1","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm",""
TP4 ,1,"GND","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm",""
U1 ,1,"LT3461ES6#TRPBF","Package_TO_SOT_SMD:TSOT-23-6",""
U2 ,1,"LT1807IS8#PBF","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
U3 ,1,"Arduino_Nano","Cosmic_Watch_Extra:Arduino_Cosmic_Watch",""
U4 ,1,"HC4050","Cosmic_Watch_Extra:SOIC-HC4050",""
U5 ,1,"MicroSDCardSocket","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5",""
U6 ,1,"3V3_Regulator","Package_TO_SOT_SMD:SOT-23",""